USAF,WBAN,STATION NAME,ST,CALL,ELEV(M),BEGIN,END,lon,lat
720701,99999,OSCEOLA MUNI,IA,KI75,338.0,2010-02-18T00:00:00.000000000,2010-03-03T00:00:00.000000000,-93.683,41.05
720719,254,EAST CAMERON 278 OIL PL,LA,KEHC,224.0,2010-05-03T00:00:00.000000000,2018-09-20T00:00:00.000000000,-92.883,28.433
720719,99999,EAST CAMERON OIL PLATFO,LA,KEHC,224.0,2010-04-30T00:00:00.000000000,2010-05-02T00:00:00.000000000,-92.883,28.433
720721,255,SABINE OIL PLATFORM,LA,KVBS,224.0,2010-05-03T00:00:00.000000000,2019-03-01T00:00:00.000000000,-93.633,29.483
720721,99999,SABINE OIL PLATFORM,LA,KVBS,224.0,2010-04-30T00:00:00.000000000,2010-05-02T00:00:00.000000000,-93.633,29.483
720722,256,SOUTH MARSH 268 OIL PLA,LA,KSCF,224.0,2010-05-03T00:00:00.000000000,2021-09-30T00:00:00.000000000,-91.867,29.117
720722,99999,S MARSH OIL PLATFORM,LA,KSCF,224.0,2010-04-30T00:00:00.000000000,2010-05-02T00:00:00.000000000,-91.867,29.117
720723,257,VERMILLION 26 OIL PLATF,LA,KVNP,224.0,2010-05-03T00:00:00.000000000,2013-04-25T00:00:00.000000000,-92.367,29.467
720723,99999,VERMILLION OIL PLATFORM,LA,KVNP,224.0,2010-04-30T00:00:00.000000000,2010-05-02T00:00:00.000000000,-92.367,29.467
720725,434,BRAZOS 133B,TX,KBBF,0.0,2010-05-07T00:00:00.000000000,2020-07-26T00:00:00.000000000,-95.872,28.058
720725,99999,BRAZOS 133,TX,KBBF,0.0,2010-05-04T00:00:00.000000000,2010-05-06T00:00:00.000000000,-96.011,27.835
720726,259,GALVESTON 424 OIL PLATF,TX,KGVX,0.3,2010-05-07T00:00:00.000000000,2016-03-04T00:00:00.000000000,-94.977,28.577
720726,99999,GALVESTON 424,TX,KGVX,0.0,2010-05-04T00:00:00.000000000,2010-05-06T00:00:00.000000000,-94.977,28.577
720727,260,HIGH ISLAND 376,TX,KHQI,0.3,2010-05-07T00:00:00.000000000,2020-08-03T00:00:00.000000000,-93.671,27.962
720727,99999,HIGH ISLAND 376,TX,KHQI,0.0,2010-05-04T00:00:00.000000000,2010-05-06T00:00:00.000000000,-93.671,27.962
720729,435,BRAZOS 451 OILP,TX,KBQX,34.1,2010-05-18T00:00:00.000000000,2025-05-27T00:00:00.000000000,-95.716,28.5
720729,99999,BRAZOS 451,TX,KBQX,0.0,2010-05-13T00:00:00.000000000,2010-05-17T00:00:00.000000000,-95.717,28.5
720731,261,MUSTANG ISLAND 31,TX,KMIU,0.3,2010-05-18T00:00:00.000000000,2013-10-23T00:00:00.000000000,-96.733,27.283
720731,99999,MUSTANG ISLAND 31,TX,KMIU,0.0,2010-05-13T00:00:00.000000000,2010-05-17T00:00:00.000000000,-96.733,27.283
720732,99999,MUSTANG ISLAND A85A,TX,KMZG,9.0,2010-05-13T00:00:00.000000000,2020-04-16T00:00:00.000000000,-96.183,27.733
720733,99999,BOERNE STAGE FLD,TX,,422.1,2010-05-11T00:00:00.000000000,2013-04-30T00:00:00.000000000,-98.695,29.724
720742,270,FAITH RANCH AIRPORT,TX,KFTN,236.2,2010-06-30T00:00:00.000000000,2025-05-28T00:00:00.000000000,-100.019,28.209
720742,99999,FAITH RANCH AIRPORT,TX,KFTN,235.6,2010-06-18T00:00:00.000000000,2010-06-29T00:00:00.000000000,-100.019,28.209
720743,418,SOUTH PADRE ISLAND HELI,TX,KSPL,4.3,2010-06-30T00:00:00.000000000,2017-01-03T00:00:00.000000000,-97.15,26.067
720743,99999,S PADRE ISLAND HELIPORT,TX,KSPL,3.0,2010-06-18T00:00:00.000000000,2010-06-29T00:00:00.000000000,-97.157,26.071
720745,272,BOOMVANG SPUR OIL PLATF,,KVAF,101.2,2010-07-27T00:00:00.000000000,2025-05-28T00:00:00.000000000,-94.633,27.35
720745,99999,BOOMVANG HELIPORT / OIL,,KVAF,101.0,2010-07-22T00:00:00.000000000,2010-07-26T00:00:00.000000000,-94.633,27.35
720781,99999,LYONS RICE CO MUNI,KS,KLYO,515.4,2018-07-19T00:00:00.000000000,2025-05-19T00:00:00.000000000,-98.227,38.343
720806,99999,PANOLA CO SHARPE FLD,TX,K4F2,75.6,2019-09-20T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.299,32.176
720827,99999,CARLISLE MUNI,AR,K4M3,73.2,2024-08-07T00:00:00.000000000,2025-05-25T00:00:00.000000000,-91.712,34.808
720835,99999,MADELINE ISLAND,WI,K4R5,197.8,2016-11-11T00:00:00.000000000,2025-05-25T00:00:00.000000000,-90.759,46.789
720844,99999,SPANISH PEAKS,CO,K4V1,1844.0,2021-03-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.785,37.697
720846,99999,ANTELOPE CO,NE,K4V9,529.7,2024-10-31T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.039,42.112
720862,99999,ROBERTSON FLD,ND,,490.1,2010-11-18T00:00:00.000000000,2013-04-30T00:00:00.000000000,-98.393,48.753
720867,293,RUGBY MUNICIPAL AIRPORT,ND,KRUG,472.1,2010-12-10T00:00:00.000000000,2025-05-27T00:00:00.000000000,-100.024,48.39
720867,99999,RUGBY MUNI,ND,KRUG,471.8,2010-11-18T00:00:00.000000000,2010-12-09T00:00:00.000000000,-100.024,48.39
720868,294,WATFORD CITY MUNICIPAL,ND,KS25,643.1,2010-12-10T00:00:00.000000000,2025-05-27T00:00:00.000000000,-103.254,47.796
720868,99999,WATFORD CITY MUNI,ND,KS25,642.8,2010-11-18T00:00:00.000000000,2010-12-09T00:00:00.000000000,-103.254,47.796
720895,99999,GLEN ULLIN REGIONAL,ND,KD57,636.7,2013-10-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.86,46.813
720913,303,SALSA,LA,KGHB,30.2,2011-01-13T00:00:00.000000000,2025-05-27T00:00:00.000000000,-91.983,27.833
720913,99999,GARDEN BANKS 172,LA,KGHB,30.0,2010-11-03T00:00:00.000000000,2011-01-12T00:00:00.000000000,-91.983,27.833
720914,304,EUGENE ISLAND OIL PLATF,LA,KEIR,28.0,2011-01-13T00:00:00.000000000,2021-09-11T00:00:00.000000000,-91.483,28.633
720914,99999,EUGENE I 2150ILP,LA,KEIR,28.0,2010-11-01T00:00:00.000000000,2011-01-12T00:00:00.000000000,-91.483,28.633
720915,305,EAST CAMERON 47 OIL PLA,LA,KCMB,29.3,2011-01-13T00:00:00.000000000,2012-08-03T00:00:00.000000000,-92.983,29.433
720915,99999,E CAMERON 47JP,LA,KCMB,29.0,2010-11-01T00:00:00.000000000,2011-01-12T00:00:00.000000000,-92.983,29.433
720916,453,GREEN CANYON 338,LA,KGRY,58.2,2011-01-13T00:00:00.000000000,2025-04-03T00:00:00.000000000,-90.45,27.63
720916,99999,GREEN CANYON 338,LA,KGRY,58.0,2010-11-05T00:00:00.000000000,2011-01-12T00:00:00.000000000,-90.45,27.633
720917,306,HIGH ISLAND 179 OIL PLA,TX,KXIH,75.3,2011-01-13T00:00:00.000000000,2020-03-28T00:00:00.000000000,-94.517,29.183
720917,99999,HIGH ISLAND 179A,LA,KXIH,75.0,2010-11-22T00:00:00.000000000,2011-01-12T00:00:00.000000000,-94.517,29.183
720918,307,MAIN PASS 140B,LA,KMIS,25.0,2011-01-13T00:00:00.000000000,2022-06-15T00:00:00.000000000,-88.842,29.296
720918,99999,MISSION,SD,KMIS,789.0,2011-01-05T00:00:00.000000000,2011-01-12T00:00:00.000000000,-100.617,43.033
720919,308,NORTH PADRE ISLAND,TX,KOPM,25.3,2011-01-13T00:00:00.000000000,2014-10-31T00:00:00.000000000,-96.933,26.833
720919,99999,N PADRE 975,TX,KOPM,25.0,2010-11-01T00:00:00.000000000,2011-01-12T00:00:00.000000000,-96.933,26.833
720921,309,WEST CAMERON 368 A OIL,TX,KCRH,34.1,2011-01-13T00:00:00.000000000,2015-10-14T00:00:00.000000000,-93.3,28.917
720921,99999,W CAMERON 368A,TX,KCRH,34.0,2010-11-01T00:00:00.000000000,2011-01-12T00:00:00.000000000,-93.3,28.917
720925,312,ATLANTIS OIL PLATFORM,LA,KATP,50.3,2011-03-10T00:00:00.000000000,2025-05-27T00:00:00.000000000,-90.033,27.2
720925,99999,ATLANTIS,LA,KATP,50.0,2011-01-04T00:00:00.000000000,2011-03-09T00:00:00.000000000,-90.033,27.2
720934,99999,WRAY MUNI,CO,,1120.7,2011-05-12T00:00:00.000000000,2013-04-30T00:00:00.000000000,-102.241,40.1
720939,99999,OAKES MUNI,ND,,406.9,2011-05-13T00:00:00.000000000,2013-04-30T00:00:00.000000000,-98.08,46.173
720941,99999,HARVEY MUNI,ND,,489.2,2011-05-16T00:00:00.000000000,2013-04-30T00:00:00.000000000,-99.932,47.791
720947,99999,COOPERSTOWN MUNI,ND,,434.0,2011-06-01T00:00:00.000000000,2013-04-30T00:00:00.000000000,-98.106,47.423
720954,456,ALAMINOS CANYON,TX,KHHV,25.3,2011-08-24T00:00:00.000000000,2025-05-28T00:00:00.000000000,-94.683,26.933
720954,99999,ALAMINOS CANYON 25 OIL,,KHHV,90.0,2011-07-24T00:00:00.000000000,2011-08-23T00:00:00.000000000,-94.689,26.939
720955,99999,SOUTH TIMBALLER 301B OI,,KSTZ,89.0,2011-08-25T00:00:00.000000000,2013-04-09T00:00:00.000000000,-90.666,28.16
720956,332,VERMILION 331 OIL PLATF,,KVQT,90.2,2011-08-25T00:00:00.000000000,2023-10-03T00:00:00.000000000,-92.264,28.27
720956,99999,VERMILLON 331A,,KVQT,90.0,2011-06-10T00:00:00.000000000,2011-08-24T00:00:00.000000000,-92.264,28.27
720972,99999,ST MARY HOSPITAL HELIPO,MN,,355.0,2011-12-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-92.483,44.017
720977,99999,ALPHA (BURNS),WY,,1667.3,2013-02-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.267,41.333
720978,99999,BRAVO (PINE BLUFFS),NE,,1607.2,2013-02-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.0,41.517
720979,99999,CHARLIE (GERING),NE,,1371.0,2013-02-26T00:00:00.000000000,2025-02-10T00:00:00.000000000,-103.667,41.583
720981,99999,DELTA (KIMBALL),NE,,1546.0,2013-07-31T00:00:00.000000000,2025-04-30T00:00:00.000000000,-103.8,41.367
720982,99999,ECHO (PINE BLUFFS),NE,,1609.3,2013-12-18T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.983,41.117
720983,99999,FOXTROT (DIX),NE,,1453.0,2014-12-15T00:00:00.000000000,2025-05-01T00:00:00.000000000,-103.483,41.367
720984,99999,GOLF (SIDNEY),NE,,1333.5,2014-05-14T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.1,41.217
720985,99999,HOTEL (GURLEY),NE,,1262.8,2013-08-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-102.833,41.317
720986,99999,INDIA (SIDNEY),NE,,1293.0,2013-08-28T00:00:00.000000000,2025-04-30T00:00:00.000000000,-102.867,41.05
720987,99999,JULIET (PEETZ),CO,K1JW,1380.1,2013-08-29T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.2,40.967
720988,99999,KILO (DIX),NE,K1KW,1439.3,2014-12-15T00:00:00.000000000,2025-05-23T00:00:00.000000000,-103.483,41.133
720989,99999,LIMA (GROVER),CO,K1LW,1518.8,2014-12-15T00:00:00.000000000,2025-05-01T00:00:00.000000000,-103.7,40.917
720991,99999,MIKE (HAXTUN),CO,K1MW,1336.2,2012-07-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.483,40.7
720992,99999,NOVEMBER (GROVER),CO,K1NW,1459.1,2014-12-15T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.833,40.633
720993,99999,OSCAR (GROVER),CO,K1OW,1649.0,2013-02-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-104.0,40.883
721011,99999,ALPHA (BALFOUR),ND,,482.8,2014-11-25T00:00:00.000000000,2024-07-21T00:00:00.000000000,-100.581,47.967
721012,99999,BRAVO (VELVA),ND,,588.6,2012-10-30T00:00:00.000000000,2025-05-25T00:00:00.000000000,-100.927,47.909
721013,99999,CHARLIE (RUSO),ND,,598.6,2012-09-26T00:00:00.000000000,2024-07-23T00:00:00.000000000,-101.01,47.714
721014,99999,DELTA (MAX),ND,,631.6,2012-10-31T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.299,47.795
721015,99999,ECHO (RYDER),ND,,640.7,2012-11-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.674,47.751
721016,99999,FOXTROT (RYDER 2),ND,,619.4,2012-08-21T00:00:00.000000000,2024-08-06T00:00:00.000000000,-101.674,47.896
721017,99999,GOLF (PLAZA),ND,,643.7,2012-10-24T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.96,48.12
721018,99999,HOTEL (PARSHALL),ND,,578.2,2012-08-21T00:00:00.000000000,2025-05-25T00:00:00.000000000,-102.223,47.974
721019,99999,INDIA (PALERMO),ND,,678.2,2012-08-23T00:00:00.000000000,2025-05-24T00:00:00.000000000,-102.304,48.345
721021,99999,JULIET (DONNYBROOK),ND,,670.3,2012-10-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.892,48.412
721022,99999,KILO (DONNYBROOK 2),ND,,693.4,2012-09-27T00:00:00.000000000,2025-05-25T00:00:00.000000000,-102.12,48.551
721023,99999,LIMA (BOWBELLS),ND,,601.1,2012-10-23T00:00:00.000000000,2025-05-25T00:00:00.000000000,-102.269,48.789
721024,99999,MIKE (KENMARE),ND,,569.4,2012-09-25T00:00:00.000000000,2025-05-24T00:00:00.000000000,-101.882,48.673
721025,99999,NOVEMBER (MOHALL),ND,,516.0,2012-10-23T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.592,48.76
721026,99999,OSCAR (ANTLER),ND,,466.3,2012-09-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-101.283,48.825
721032,99999,ANDREWS CO,TX,,967.4,2012-04-17T00:00:00.000000000,2013-04-30T00:00:00.000000000,-102.53,32.331
721043,99999,ATHENS MUNI,TX,KF44,135.3,2012-08-13T00:00:00.000000000,2025-05-25T00:00:00.000000000,-95.828,32.164
721045,354,MIDWEST NATIONAL AIR CE,MO,KGPH,237.1,2012-08-21T00:00:00.000000000,2025-05-27T00:00:00.000000000,-94.31,39.332
721045,99999,MIDWEST NAT AIR CENTER,MO,KGPH,236.8,2012-08-18T00:00:00.000000000,2012-08-20T00:00:00.000000000,-94.31,39.333
721046,460,LOUISIANA REGIONAL AIRP,LA,KREG,4.6,2017-03-09T00:00:00.000000000,2025-05-27T00:00:00.000000000,-90.941,30.173
721046,99999,LOUISIANA RGNL ARPT / G,LA,KREG,4.3,2012-08-29T00:00:00.000000000,2017-03-08T00:00:00.000000000,-90.933,30.167
722003,54930,STANTON AIRFIELD,MN,KSYN,280.4,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-93.016,44.476
722003,99999,STANTON AIRFIELD,MN,KSYN,280.0,1988-01-06T00:00:00.000000000,2005-12-31T00:00:00.000000000,-93.017,44.483
722004,54922,HARRY STERN AIRPORT,ND,KBWP,295.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.607,46.244
722004,99999,HARRY STERN,ND,KBWP,295.0,2005-07-19T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.6,46.25
722005,99999,COFFEY CO,KS,KUKL,357.5,2005-04-27T00:00:00.000000000,2025-05-25T00:00:00.000000000,-95.725,38.302
722006,54926,QUENTIN AANENSON FIELD,MN,KLYV,436.2,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-96.216,43.621
722006,99999,LUVERNE QUENTIN AANE,MN,KLYV,436.0,2005-02-08T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.217,43.617
722008,12995,MUSTANG BEACH AIRPORT,TX,KRAS,1.5,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.089,27.812
722008,99999,MUSTANG BEACH,TX,KRAS,2.0,2005-02-17T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.067,27.833
722018,99999,CLOVIS(NEXRAD),NM,KFDX,1417.0,2000-01-01T00:00:00.000000000,2001-05-16T00:00:00.000000000,-103.633,34.633
722032,54916,WASECA MUNICIPAL AIRPOR,MN,KACQ,343.2,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-93.553,44.074
722032,99999,WASECA MUNI,MN,KACQ,343.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-93.55,44.067
722033,4999,GRANITE FALLS MUNI ARPT,MN,KGDB,319.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-95.556,44.753
722033,99999,GRANITE FALLS MUNI,MN,KGDB,319.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.55,44.75
722041,12993,SOUTH LAFOURCHE AIRPORT,LA,KGAO,0.3,2006-01-19T00:00:00.000000000,2025-05-27T00:00:00.000000000,-90.261,29.445
722041,99999,SOUTH LAFORCHE,LA,KGAO,0.0,1973-01-01T00:00:00.000000000,2005-11-05T00:00:00.000000000,-90.267,29.45
722042,53978,WOOD COUNTY AIRPORT MIN,TX,KJDD,132.3,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.496,32.742
722042,99999,WOOD CO,TX,KJDD,132.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.496,32.741
722044,53930,ADA MUNICIPAL AIRPORT,OK,KADH,309.7,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.671,34.804
722044,99999,ADA MUNI,OK,KADH,310.0,2004-03-19T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.667,34.8
722051,12841,ATOKA MUNI,OK,KORL,34.1,1941-06-16T00:00:00.000000000,1990-02-06T00:00:00.000000000,-81.333,28.545
722051,53932,ATOKA MUNICIPAL AIRPORT,OK,KAQR,179.8,2005-01-01T00:00:00.000000000,2021-05-28T00:00:00.000000000,-96.148,34.398
722051,99999,ATOKA MUNI,OK,KAQR,180.0,2004-07-13T00:00:00.000000000,2004-12-31T00:00:00.000000000,-96.148,34.398
722052,53933,ALVA REGIONAL AIRPORT,OK,KAVK,449.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-98.67,36.773
722052,99999,ALVA RGNL,OK,KAVK,449.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-98.667,36.767
722054,53959,WEST MEMPHIS MUNICIPAL,AR,KAWM,63.7,2005-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-90.236,35.14
722054,99999,WEST MEMPHIS MUNI,AR,KAWM,65.0,2004-03-19T00:00:00.000000000,2004-12-31T00:00:00.000000000,-90.234,35.135
722071,53935,CHICKASHA MUNICIPAL ARP,OK,KCHK,350.5,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.966,35.096
722071,99999,CHICKASHA MUNI,OK,KCHK,351.0,2004-12-28T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.967,35.1
722078,53938,HALLIBURTON FIELD AIRPO,OK,KDUC,339.2,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.951,34.471
722078,99999,HALLIBURTON FLD,OK,KDUC,339.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.96,34.471
722089,94959,GALESBURG MUNICIPAL ARP,IL,KGBG,232.9,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-90.433,40.933
722089,99999,GALESBURG MUNI,IL,KGBG,233.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-90.433,40.933
722091,53940,CLAREMORE REGIONAL AIRP,OK,KGCM,221.0,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.479,36.294
722091,99999,CLAREMORE RGNL,OK,KGCM,223.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.483,36.3
722092,53941,GROVE MUNICIPAL AIRPORT,OK,KGMJ,253.9,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-94.738,36.605
722092,99999,GROVE MUNI,OK,KGMJ,253.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.733,36.6
722094,53984,GRAND PRAIRIE MUNICIPAL,TX,KGPM,179.5,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.047,32.699
722094,99999,GRAND PRAIRIE MUNI,TX,KGPM,180.0,1985-01-30T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.05,32.7
722095,3030,GUYMON MUNICIPAL AIRPOR,OK,KGUY,948.7,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-101.505,36.682
722095,99999,GUYMON MUNI,OK,KGUY,952.0,2004-03-19T00:00:00.000000000,2005-12-31T00:00:00.000000000,-101.5,36.685
722097,4936,HARLAN MUNICIPAL AIRPOR,IA,KHNR,375.2,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.339,41.584
722097,99999,HARLAN MUNI,IA,KHNR,375.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.333,41.583
722099,53936,CHANDLER MUNICIPAL AIRP,OK,KCQB,299.9,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-96.82,35.724
722099,99999,CHANDLER RGNL,OK,KCQB,300.0,2004-07-13T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.817,35.717
722102,99999,CLEBURNE  CLEBURNE MUNI,,,260.0,2004-05-25T00:00:00.000000000,2004-06-17T00:00:00.000000000,-97.43,32.35
722107,3056,GAINES COUNTY AIRPORT,TX,KGNC,1010.4,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-102.654,32.675
722107,99999,GAINES CO,TX,KGNC,1010.0,2004-05-17T00:00:00.000000000,2005-12-31T00:00:00.000000000,-102.653,32.674
722112,53982,FOX STEPHENS FIELD - GI,TX,KJXI,126.5,2006-01-01T00:00:00.000000000,2025-05-24T00:00:00.000000000,-94.949,32.699
722112,99999,FOX STEPHENS FLD,TX,KJXI,126.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.949,32.698
722113,53979,GIDDINGS-LEE COUNTY AIR,TX,KGYB,147.8,2005-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-96.98,30.169
722113,99999,GIDDINGS LEE CO,TX,KGYB,148.0,2004-05-25T00:00:00.000000000,2004-12-31T00:00:00.000000000,-96.983,30.167
722114,54901,BUFFALO MUNICIPAL AIRPO,MN,KCFE,294.7,2005-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-93.843,45.159
722114,99999,BUFFALO MUNI ARPT,MN,KCFE,295.0,2004-05-25T00:00:00.000000000,2004-12-31T00:00:00.000000000,-93.833,45.167
722122,3050,WINSTON FIELD AIRPORT,TX,KSNK,740.7,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-100.951,32.693
722122,99999,WINSTON FLD,TX,KSNK,741.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-100.95,32.7
722124,4998,HEBRON MUNICIPAL AIRPOR,NE,KHJH,449.0,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-97.587,40.149
722124,99999,HEBRON MUNI,NE,KHJH,447.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.583,40.15
722129,4939,MOORHEAD MUNICIPAL AIRP,MN,KJKJ,279.5,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.663,46.839
722129,99999,MOORHEAD MUNI,MN,KJKJ,280.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.664,46.839
722133,53946,SALLISAW MUNICIPAL AIRP,OK,KJSV,160.9,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-94.803,35.438
722133,99999,SALLISAW MUNI,OK,KJSV,161.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-94.803,35.438
722143,53975,LANCASTER AIRPORT,TX,KLNC,152.7,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-96.719,32.579
722143,99999,LANCASTER,TX,KLNC,153.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-96.717,32.583
722144,4945,MAPLE LAKE MUNICIPAL AR,MN,KMGG,313.3,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-93.986,45.236
722144,99999,MAPLE LAKE MUNICIPAL,MN,KMGG,313.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-93.99,45.24
722152,53957,WEST WOODWARD AIRPORT,OK,KWWR,666.9,2005-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-99.521,36.437
722153,99999,GREEN CANYON 184,LA,,0.0,2004-05-25T00:00:00.000000000,2006-09-11T00:00:00.000000000,-91.517,27.767
722155,3040,MONUMENT HILL AWOS-3 AR,CO,KMNH,2151.9,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-104.633,39.217
722155,99999,ELBERT MTN MONUMENT,CO,KMNH,2125.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-104.633,39.217
722157,4949,MACOMB MUNICIPAL AIRPOR,IL,KMQB,215.5,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-90.652,40.52
722157,99999,MACOMB MUNI,IL,KMQB,215.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-90.65,40.517
722159,12980,MID VALLEY AIRPORT,TX,KT65,21.3,2006-01-01T00:00:00.000000000,2025-05-26T00:00:00.000000000,-97.973,26.178
722159,99999,MID VALLEY ARPT / WESLA,TX,KTXW,21.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.974,26.179
722164,53949,OKMULGEE MUNICIPAL AIRP,OK,KOKM,219.5,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.949,35.668
722164,99999,OKMULGEE RGNL,OK,KOKM,219.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.95,35.667
722168,4960,OLIVIA REGIONAL AIRPORT,MN,KOVL,328.0,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-95.033,44.779
722168,99999,OLIVIA RGNL,MN,KOVL,328.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-95.033,44.783
722169,3058,PECOS MUNICIPAL AIRPORT,TX,KPEQ,796.4,2006-01-01T00:00:00.000000000,2025-03-05T00:00:00.000000000,-103.511,31.383
722169,99999,PECOS MUNICIPAL AIR,TX,KPEQ,796.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-103.5,31.383
722173,53951,PAULS VALLEY MUNI AIRPO,OK,KPVJ,295.1,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-97.223,34.711
722173,99999,PAULS VALLEY MUNI,OK,KPVJ,295.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-97.217,34.717
722174,23097,HALE COUNTY AIRPORT,TX,KPVW,1028.4,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-101.717,34.167
722174,99999,HALE CO,TX,KPVW,1028.0,2004-05-25T00:00:00.000000000,2005-12-31T00:00:00.000000000,-101.717,34.167
722178,53953,ROBERT S KERR AIRPORT,OK,KRKR,137.5,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-94.621,35.021
